Texto,Href
Imagens,https://www.google.com.br/imghp?hl=pt-BR&tab=wi
Maps,https://maps.google.com.br/maps?hl=pt-BR&tab=wl
Play,https://play.google.com/?hl=pt-BR&tab=w8
YouTube,https://www.youtube.com/?tab=w1
NotÝcias,https://news.google.com/?tab=wn
Gmail,https://mail.google.com/mail/?tab=wm
Drive,https://drive.google.com/?tab=wo
Mais »,https://www.google.com.br/intl/pt-BR/about/products?tab=wh
Hist¾rico da Web,http://www.google.com.br/history/optout?hl=pt-BR
Configuraþ§es,/preferences?hl=pt-BR
Fazer login,https://accounts.google.com/ServiceLogin?hl=pt-BR&passive=true&continue=https://www.google.com.br/&ec=GAZAAQ
Pesquisa avanþada,/advanced_search?hl=pt-BR&authuser=0
Publicidade,/intl/pt-BR/ads/
Soluþ§es empresariais,/services/
Sobre o Google,/intl/pt-BR/about.html
Google.com,https://www.google.com.br/setprefdomain?prefdom=US&sig=K_3pJx9YWGZCS3DFVLq2gDfbV8u2c%3D
Privacidade,/intl/pt-BR/policies/privacy/
Termos,/intl/pt-BR/policies/terms/
